uuid,prompt,topic
50f91289-d734-5853-bf49-5fa751398a41,realist vid&#233;o of a family coming from the field in an African village  ,africa
0bb703bc-bb03-5125-b404-0ef2db1f2ed7,"panoramic aerial view of the villages in South Africa during the 1950s, Mandela Ni&#241;o, Hyperrealism, cinematic,––ar 16:9––  ",africa
06afef5f-bff2-5aa5-9102-eadac8cf45a3,Shot of flourishing crops and happy people  ,agriculture
62560861-0ba2-5ba3-9ec1-e0bef2a1ea9c,"An astronaut standing in a wheat field and looking around, film texture, photography  ",agriculture
8202e5e1-b7c3-514e-b543-f1578c64acca,terumisky_studio_ghibli_retro_Japanese_Edo_era_soybean_farmer_a_95119b65-1622-43d4-baea-d0f6b39ce4e5.png  ,agriculture
e62236cd-637b-5b42-b78e-33c8482c722b,: The agricultural period: Humans began to cultivate crops and raise livestock -ar 9:16 -motion 2  ,agriculture
c33dca7e-e62b-5064-a312-56a94df251c2,"His crops had failed, and he was struggling to feed his family.  ",agriculture
b6a6bb75-195b-593b-bb65-f7ca2bbcc0ad,farming rice  ,agriculture
e4ec2537-1661-5dcd-99dc-e7938df74396,a farmer infornt of an extraordinary pink plant  ,agriculture
b2f675fa-556a-5359-9aef-afbbf4fc9041,fly over 1920 cotton fields as dust cloud of arsenic powder pesticide floats over man with mule  ,agriculture
14a6b697-17f5-5cb0-a88c-2a63584f6b6f,man smells the grains of the plant -ss24 -ar 16:9 -motion 4  ,agriculture
d67c821f-e519-5945-861d-6df8b5fee313,indian farmer standing on top of a mud mount  ,agriculture
ac671d1c-374e-5372-a313-3c84b262f514,"make a timlapse of a person who is walking around the airport for the first time, waiting for their flight. show that first time experience emotion on their face  ",airport
a1a9aa25-e672-519c-9031-435da8f90f20,"urwashi rotela wearing great and beautiful red saree appearing at airport in a dance pose , realistic 4k image  ",airport
eb4730db-94c3-5ad9-90b3-06fb3d342876,"A traveller lost on the airport lounge, Show that confusing emotion on the face and also show her phone is not working. show this scene is time laps. show a more zoomed out version  ",airport
d7550509-1b60-55c8-b2c2-89110ed7adbf,"modern European airport arrivals board, zoom in  ",airport
286e3a80-5868-5cf1-8a3c-2b57c9b471b4,The scene where airport staff and customers exchange tickets at the airport counter  ,airport
f4508edc-2be9-54c9-9c7b-78631ef074a4,The cartoon character at the airport is holding a large suitcase without wheels in their hands and is walking slowly -ar 9:16  ,airport
188f0362-2fbe-56fc-9514-bb3cad0f973c,"a stunning view of an airport at night with a fleet of aeroplanes, creating a pattern, photorealistic, ultra realistic, high definition, 4k,-neg &quot;no vehicles&quot; -neg &quot;low resolution&quot; -neg &quot;blurry&quot; -neg &quot;cartoon&quot; -neg &quot;pixelated&quot; -ar 16:9 -motion 2 -gs 13 -fps 24 -w 2 -camera zoom in  Message: 1 Attachment  ",airport
53962b3b-6327-5e9f-8ff4-31903601b032,"a mani group of people wearing masks, 2019 trending photo, pandemic, crowded airport, purple background  ",airport
f621fc1a-5dae-5634-8553-454821ac9291,"clouds, camera zoom out  Message: NAIA (Font: RETRO)  ",airport
9c80fa3b-5faf-5ad6-957c-5dd6fcdfd4df,osaka itami airport  ,airport
aa7dd911-2534-547a-bf74-2c2e11acbfe2,"young man sitting aside  a road and drinking alchol wiyh bottle, night time mumbai,in background mumbai night life, lens 85mm, aspect ratio 16:9  ",alcohol
103671c0-9dcb-5e22-8a1b-a3ede763c8ac,"command, A rat drinking in a club while checking his phone  ",alcohol
47b7790c-f710-59e9-ab0c-e42c4b2fe0ae,snow white drinking from a bottle of whiskey in a dark room  ,alcohol
457c920e-afa0-5f45-bd50-399594d29ebe,A man is drinking alcohol  ,alcohol
4d97be47-8e6a-5f2c-b4cc-4c2da261348d,a human-like ape with white ears in the Classic of Mountains and Seas who is drinking alcohol without limit  ,alcohol
48dfad79-db9d-5b22-b0e1-e35087f5a8cd,a drinker in the street  ,alcohol
bb7e4f7b-0bf3-59d3-85d7-b073d52babb3,the cast of star wars taking tequila shots  ,alcohol
79f40e5f-bc74-533d-9ffb-06f572ba806a,"After drinking alcohol, my liver hurts. cinematik lights,4K,3d,cinemascope -neg morphing, erratic fluctuation in motion, noisy, bad quality, distorted, poorly drawn, blurry, grainy, low resolution, oversaturated, lack of detail  ",alcohol
67f58a45-9553-5100-b4f4-184b19e27ff5,Viktor Yanukovych drinks vodka from his throat  ,alcohol
308f4eb7-6702-509e-8754-be45c7dd596e,"drunk elderly people smashing bottles in the supermarket, cinematic look, chaotic composition, insane details, dramatic light, photorealistic --ar 16:9  ",alcohol
29d3bdc6-b0ca-56f5-ae6f-3f263a0a30de,"Alexander the Great was a mommies boy who brainwashed him into believing that his real father was the Greek god Zeus High-definition, Premium, Superior, Cinematic, Ultra detailed, Professional, Textured, Cinematic lighting, Sharp focus, 3D, Illustration, Fantasy world, Portraits, Metallic, Colorful, Ultra-realism, 8K, Dynamic, Atmospheric effects, Video art, dynamic action, dynamic lighting, hd -gs 20  -motion:4, speed 20x, -ar 9:16  ",alexander
8a729576-1f57-5b1d-8721-42e077a0da9d,Emperor of Macedonia before Christ asking to paint a picture but without showing his scar on his forehead  Message: 1 Attachment  ,alexander
e5955554-846e-5a75-a87a-0c4ecba081df,"aerial view, alexander the great, raising sword in the smoke filled air, fire, medieval feudal japanese fortress, colorized tintype style --ar 5:2  ",alexander
26c0e52d-a77d-5caa-b6b5-888015a661b0,Alexander the Great with a sword in battle  ,alexander
9ce87f06-f6b8-5a15-9591-3886e65a6ed8,a King giveing gold coins full plates to Alexandre 326 BC--ar-9:16  ,alexander
0896f92c-b54e-5bf4-a2e9-6f0693fff2c6,Alexander the Great riding a Jurassic Park Style Raptor while holding a Katana in one hand and an AR-15 in the other. Something explodes in the background causing a blast of fire and smoke to rise to the sky.  ,alexander
29ee4ad0-3f98-5490-b1be-60a3f4358c60,"the great alexander on war, cinematic pan  ",alexander
987d40ac-bd1d-51ec-9654-32a0d6e9cda9,"Prince Alexander&#39;s Heroic Entrance: Prince Alexander arrives, sword in hand, to save Isabella from the lion&#39;s attack pixa cartoon  ",alexander
48bb3dd0-3be0-522a-bb04-cec30e48c327,cyrus the great in persepolis  ,alexander
a84120a8-8a05-59ca-809b-1c127d1b22f4,Generate an image of a young Alexander the Great with a map of his conquests in the background.  ,alexander
f13b4478-1b89-5ca2-a739-abf77babefae,"Create an image of a dimly lit, mysterious alley where shadows play hide-and-seek with the flickering streetlight.  ",alley
4fb71227-2ba9-5bbe-9319-ec483143daf4,realistic cinematic black arms dealer standing with a buffle bag on the gound beside him in a dark allie with graffiti on the walls  ,alley
4bb7249d-ebd1-5844-9a94-02884d9ddaaa,a man who is doing pushups in a dark alley  ,alley
1c98f6f7-58b5-5539-9ed8-b0d5044fa810,"creepy,  scary, disturbing, eerie  (8k, RAW, highest quality), hyperrealistic, smokey dark alley, highly detailed, cinematic, film grain, action-themed , 1868x4000  ",alley
55de4d1b-4eb0-5263-860c-91a31663e73e,"guy in a hoodie stabbing other guy with a knife, blood slpatters, they&#39;re in an alley, at midnight,  ",alley
9980f126-55ba-554b-a0eb-70cc15fa88dc,"one person walking in a dark alley, night, dark walls, camara watching behind  ",alley
80e9b751-5250-5b74-aa3e-7681dbe51afd,"rustic alley way, flooding with water, lots of reflections, portal in the sky, green foliage blowing in the wind of the stormy weather,  ",alley
7eeb6c4b-69ed-5f14-a770-5f44e54e4c97,"AI generated An adult (v3) Voldemort and his Death Eaters walk towards Diagon Alley (backs facing the camera)  casting a blaze of green spells, causing chaos and destruction.

Setting: The hooded group is at the “edge” of the city/market area facing an area with large windowed shops on either side and several people walking around the cobblestoned streets. The streets are lit on the sides by lamposts  ",alley
fecd9a1d-80cf-5f2d-84dc-610e2a972db7,"three young cats walk down an alley, one cat is black, one is orange, and one is white and gray, hyperrealistic, highly detailed, 8K, cinematic, --ar 16:9  ",alley
0f69b8b5-e427-5ecb-b3b0-8ea32fa83a4e,the division in the darkzone alleyway New Jersey daytime realistic photo  ,alley
8d10cdf8-b484-5f55-a615-04be8ee9c72d,"ultra cinematic, hyper realistic, panoramic view of an enormous alligator, with sharp teeth, stalking people in the front yard of a Florida home, vibrant and colorful hues, 32k resolution, –gs 20 –motion, realistic, ultra-detailed, in the style of super 8, cinematic lighting, ultra-detailed, visual effects, post-processing, HD resolution, 8K resolution - aspect ratio 9:16 - seed 100 - motion -ar 16:9  ",alligator
bd18148c-eb99-5001-a0ff-4f9677d905b3,"organs, bones, colorful, morgue, bodies, remains, bodily remains when the guy went to hell the screams aligater saw the man  and sinks hes teeth into his leg and at that moment it is clear to all that this mans life has come to and end because the aligater starts spinning like a crazy animal and rips the mans leg off in most agonizng possible way he tries to swim away but blood attracts every single crocodile in the water and they all grabbed pieces of his flesh and did this horrifiyingly fast jerking spinning motion which brought all skin off in one swift move from multiple gators  and nobody ever went to that swamp again  ",alligator
34107f98-24b7-5c9c-9be7-b20199c7b783,an alligator tapdancing in a top hat  ,alligator
83c0068a-2f31-5d66-8309-4383f0b0ba1f,"close-up wide, frontal shot, centered, daytime, an alien with an alligator head wearing alien armor, muscular appearance, serious look, standing on a solid surface in the middle of a swamp, 3d render -neg &quot;deformation, distortion, rays of light , light beam, smoke, side camera, rear view camera, rear photo, coastal photo, deformed body, people, walking fast, very fast, change, change&quot; -motion 1 -gs 12 -fps 24 -hide  ",alligator
03a35d65-523a-5872-8e75-293edde7238f,"wide shot, frontal shot, centered, daytime, an alligator-headed alien wearing alien armor, muscular appearance, serious look, standing in a swamp on the moon, the moon behind illuminating, cinematic -neg &quot;deformation, distortion, rays of light , light beam, smoke, side camera, rear view camera, rear photo, coastal photo, deformed body, people, walking fast, very fast, change, alteration, add, unreal parts&quot; -motion 1 -gs 12 -fps 24 -hide  ",alligator
3b65b07f-620c-5174-8cdd-bbaf90d5163b,An alligator and a grizzly bear wrestling in the backyard of an American home.  ,alligator
9b0d762d-523e-53f3-a11b-8d246a725bca,Boy walking on the edge of a volcano drinking water from an alligator bottle  ,alligator
86dc495c-9514-5a67-ae80-b051af91d0e6,"a obese black man in camo pants is kicking an alligator&#39;s face in the everglades, trailcam footage  ",alligator
093950e6-95c8-594b-9012-5b42d76d97cb,a giant alligator about to devour a man  ,alligator
789d47d7-d2da-5fdc-a52e-dd269f4887bd,3d photorealistic cartoon alligator staring at the sunset over a lake  ,alligator
f587e1b2-b98f-5b99-beeb-d4669b1ad0f4,The complete alphabet displayed on a Pixar-style whiteboard  ,alphabet
2b45144a-5d94-505d-abb8-3e89a40954e0,he had a special mission. He was on a quest to explore the world of letters and words.  ,alphabet
7a3221c8-842b-598a-87de-3a19bb9d907c,cute cat is teaching alphabet A  ,alphabet
640c42b7-9ea8-5dcf-90fd-6846e93ea36c,english letters flying in sky.3d animation for kids  ,alphabet
7dee01f0-2482-54cc-ac40-78079aa0c910,alphabet animated  ,alphabet
d4a57583-c998-511d-b1b5-d6b789ca4cc2,3d alphabate latters  ,alphabet
59437562-2058-5200-87e4-06bbeef7d6e4,Students becoming letters Message: EME  ,alphabet
223e5734-a3c6-5992-a3a9-d3d8f1796fac,"A journey through an alphabet-themed world, where each letter comes to life in a unique and surprising way, 4K, -gs 25 -motion 1 -hide -ar 16:9 -seed 1234  ",alphabet
aa22fa54-4a81-5fd0-8d9d-3422f19e91b8,3d alfabate  a  ,alphabet
058d6f43-1a85-5456-b52e-59a0716b1d3f,create an animated video of A for Apple  ,alphabet
453bea67-404c-5ea9-acb1-7b32d5e3da71,saturated comics image rainbow white bright John Carpenter’s The THING monster panther shrooms lsd jaguar hybrid playing putt-putt at an amusement park -fps 12  ,amusement park
beaacfaf-2910-5c45-9721-3148cd88143a,Two women sitting and eating cotton candy at a theme park. Animated -ar 16:9  ,amusement park
020f3941-c7c0-518f-81ca-bf3e942ddd86,Disneyland its a small world pov -motion 3  ,amusement park
c898e050-a1d4-5860-9e4a-2a2a35fc1404,"Shijingshan Amusement Park: At Beijing Shijingshan Amusement Park, you can enjoy the Iron Tree Silver Flower Light and Shadow Show and the Castle Light and Fireworks Show. Experience the thrilling atmosphere of the New Year here.  ",amusement park
1eed4aa1-e112-5f0e-ad7f-c45563f521d8,"3D Disney Animation, personality: [Show Emily and Johnny climbing onto their horses on the Carousel. They are filled with anticipation and excitement for the adventure ahead] unreal engine, hyper real --q 2 --v 5.2 --ar 16:9  ",amusement park
64476b14-9982-599e-8799-6e157b337fbb,people in a waiting line of a themed park attraction  ,amusement park
fff4b048-c30b-5947-8530-2ce52c41863f,"Create a  video set in an abandoned amusement park. The primary focus is on a young photographer, who should be capturing the park&#39;s eerie beauty. Ensure that the mood of the video conveys a sense of nostalgia. Include two characters that interact with the environment in a way that highlights the passage of time. The video should have a twilight setting, and please incorporate flickering old-fashioned carnival lights for added depth  ",amusement park
f21fc56a-57d6-5395-b171-4f9612ae9307,1960 amusment park. black and white. petting zoo with kids  ,amusement park
a1142360-8b4e-5c4d-bf34-d027568cda7f,"a boy and a girl in an amusement park, popcorn, A street-food seller selling pop-corn to a robot in a rainy city, cyberpunk style, 8K",amusement park
284f5988-6fd8-58c1-83ad-7a4fe263eb92,roller coaster in theme park  ,amusement park
30839fab-443c-5abc-ad13-95c0277a5978,transparent human anatomy with visual bones  ,anatomy
be4b0faf-b322-5c06-933b-9839de5f9492,Shoulders on the shadow of finda  ,anatomy
f31cef66-65fd-518e-a7ab-e739652484ed,rotating neck  ,anatomy
22029115-e298-5500-8866-826c85cbd0d2,video of anatomical muscle model showing and emphasizing the biceps and its three parts 16:9  ,anatomy
49c047e5-1100-5c6e-b6fd-83ac6b305488,parts of a human body animated  ,anatomy
7e272e81-1d50-56cd-ba6f-db7f959b7c1f,": Humans can stand upright, have a large brain, and use language. -ar 9:16 -motion 3  ",anatomy
033fb7ca-fa5b-5837-afcb-d821f58b1e6b,"realistic, human bones  ",anatomy
c63b9115-09e9-54ae-8431-f4a17957836e,"organs of the human body, seen from inside the human body, 128k, hyperrealistic, defined details, sharp colors, fast movements, bright colors of colored smoke on the sides,  ",anatomy
221957ab-0ca3-5912-880c-cfb8e182d05d,"real, breast with dug on it  ",anatomy
95a8fe40-8c83-5a65-beb8-ae4c0201b1d2,"A human white femur bone with drops and bubbles of purple flubber on the surface of the bone, black background, good anatomy -seed 9899967232995425126 -motion 1  ",anatomy
3446cb88-b4f0-5912-830a-79919cd379d4,Super fast action of 3D chracoal master peace from the best Artist drawring  the  perfect face featured of a  Greek women super fast action  ,ancient greece
8f5511af-9c99-59ba-8859-37a87175e171,uma cena sobre a Gr&#233;cia antiga e os stoicism 4k  ,ancient greece
2c6ced97-c658-51e4-bf76-b843397c555f,"philosopher Thales of Miletus, UHD, realism, real color skin, sharp -gs 24  ",ancient greece
799b5b0e-30ce-5142-9cac-6596e82e04c0,greek ancient philosopher reading  ,ancient greece
100b7158-e9db-5ee3-98a7-2d657b8b29af,"video moving forward, concept art, immigrant district of Athens, 524 BC, Cynosarges, located outside the city walls, big city wall,poor people walking, big athens buildings, detailed, high-quality, full illustration,4k -ar 16:9  ",ancient greece
6d387e92-de9c-5415-88c7-1bbb2bb81b09,"ancient greek hooded man in a boat on a lake, no trees , black and white, old classic horror movie style -neg distorted, morphing  ",ancient greece
c27d78c4-a6ab-5b4d-8cbd-4151389f4a77,"ancient greek stones on a Mediterranean beach at sunset, beautiful, cinematic -camera zoom out  Message: stoic (Font: MODERN)  ",ancient greece
582c3d1f-2585-5601-8f85-b95f41eadb40,"a beautiful blonde, full-length, Greek woman, flirting and terribly smiling, standing in Santorini and looking at the camera  ",ancient greece
4a1b4816-f2d2-5d06-9c71-5c69ef2ffba2,"&quot;A dark landscape image of an ancient greek society deeply connected to stoicism, black and white, ancient greek architecture, include one single big statue of a stereotypical strong greek man, marcus aurelius --ar 16:9 -style G4JuqKIERum6vZGYhO9USSG  ",ancient greece
2799f631-8b33-5e93-8ee0-91f7ac322ca7,Athenians surrendering after the defeat.  ,ancient greece
0a8288f6-f1b2-5673-bafa-6916a3e65b19,"Bald man in toga and sandles walks down a cobblestone street in Pompeii, 850 B.C. Full body, wide shot  ",ancient rome
ca9fa98e-569d-55b6-83bc-5aaaff00e5fe,"roman senators arguing at the forum, classical archetecture, colorized tintype style --ar 5:2  ",ancient rome
68286fa0-1a2a-5575-80de-07bc88017d06,"teams of chefs holding royal exquisite foods, ancient rome, fire, kitchen, colorized tintype style --ar 5:2  ",ancient rome
fc0f048f-3553-5304-8db1-d32ae6d4a4dd,roman soldier walking in year 100 BC  ,ancient rome
d5fcf657-81c7-533a-849c-e871c7bbe3ca,ancient letters in rome 2000 years ago on an ancient roman table  ,ancient rome
9aa0131c-40f9-55fa-99a7-3ccef0840b3d,the goddess Venus quartering a long bow  ,ancient rome
8f9cfec1-0555-51cc-9a8d-2f9d1faf352f,a  imperator  young heliogabalo was killed in Roma by pretorians  ,ancient rome
8f802059-44b2-5016-85cc-f7dfcf007cee,Roman palace crumbling to the ground  ,ancient rome
18e0f782-796b-5c4d-be22-caf3d35737f4,"rome emperor sitting in his booth with his guards in the colosseum before battle, daytime -motion 4 -fps 24 -ar 16:9 , 4k, cinematic, photorealistic  ",ancient rome
66e4c7fd-345c-5d3d-a0e2-4d79b99b9ef8,"El Senador romano Octavius en una sala oscura, rodeado de mapas estrat&#233;gicos y conspirando con otros senadores.  ",ancient rome
8dcf1bb2-66d8-5da7-ab64-d97dbdc068f0,"photorealistic, cinematic. a handsome bald white humanoid android,  with a centipede wrapped around his leg. setting: on the beach. low angle shot looking up.  ",android
2afc82b0-9a53-5a76-a5e3-793e69f1852a,A Buddhist monk standing against a group of androids -camera zoom in  ,android
03c6137f-d644-52c5-a5bc-be152c0ff9da,"One humanoid droid talking to another, cyberpunk city, night  ",android
55a3dc17-3579-5d8f-86c9-296d0c614e2b,"cyberandroid , cheerful, on the beach at sunset  ",android
298e815c-b41d-589e-92cf-7c33847bc025,"vaporwave, cyberpunk, android man looks at camera in the dystopic city -ar 9:16 -motion 4 -neg lightsaber  ",android
fb6ebbca-a9d2-5f82-a9cb-06c15b9d6c8b,"Android with exposed chrome arm, inner workings visible, professional color grading, soft shadows, no contrast, clean sharp focus, film photography, intricate, masterpiece, high detailed, high resolution, by Kilart -ar 9:16 -gs 25  ",android
bf71e63e-3716-5079-9a9b-dfd31c8f7446,acrylic white androids and cyborgs having a party in a white room full of wide screens interviewing detailed people from curltures and societies around the world by greg routousky Futurism  ,android
731084e7-709a-55c6-8721-9485b9ca73ac,androids making love in a futuristic scenery  Message: love (Font: MODERN)  ,android
646c73fc-e815-5ac0-859d-62664d5b1ca1,android face  ,android
f0ff61f0-401b-5e15-954d-4064672a7425,Arduino uno board turn into android  ,android
fb812dd4-c857-5b1f-b6c3-573d1599abc5,Goose walking on the farm  ,animal
f6b146ad-adbd-5cd0-bff9-0deb93e48a7b,"Two sparrows are sitting outside the window, on the windowsill, it&#39;s snowing, the wind is blowing -gs 24  ",animal
96ae36e6-1d4a-551d-b8cd-bb543e426b57,Lovely rabbit  ,animal
a5c3167a-bde2-50ff-ab70-a42e39f372ef,two dogs no background  ,animal
936f38b8-c243-516a-9d9f-4f5730e7deb5,Fox and rabbit party  ,animal
b5026f39-9184-5210-ba83-d31ac1fc24b7,"35mm footage of pug puppies playing in the snow, filmed in December 1979.  ",animal
b3df4cd8-d2b3-5e94-b429-2431be7e9e7d,Monkey rabbit cat dog making funny tracks in the snow  ,animal
3e10d2e0-b33f-599d-9dab-60e1c0ceeb4c,"realistic, vivid colors, low detail, kids book, animal world including alligator, butterfly, cat, dog, fox, giraffe, hedgehog, monkey, racoon, squirrel, turtle, bee, zebra
<ul><li>motion 2,  Message: AiArt (Font: MODERN)  ",animal
8a655c0f-0d1a-590d-be6b-b061aef6b6d8,tiger avatar  ,animal
caf1dcf3-e1f5-5273-8162-dfe966bd0983,the world filled with pets  ,animal
a4d0b09c-ca20-520f-887b-3bbb8ff42971,"an army of pink ants carrying a football across the jungle floor, raytraced daylight, 25fps HD  ",ant
98297351-8f81-5b9d-8b25-f0d0b06b7e08,"&quot;Animate an ant with expressive eyes and a mouth, poised on a leaf, looking directly at the camera.&quot;  ",ant
d3830426-4786-5dea-9ded-3d56061f6485,animated cartoon of an ant city built by many ants  ,ant
d95e6590-8f62-5a22-ab07-deb321c19c42,a cartoon ant adventure in rainforest with sunlight and river  ,ant
2e3c7121-bd41-5cae-a09e-f321c2dc07e5,"a swarm of industrious ants working in a grassy field, 4k  ",ant
96d8606c-4a79-56a7-971e-947654033df7,Genrate video Ants in Space  ,ant
f410d488-cdbd-56e6-aa51-8fba37f6b56b,colony of ants crawling in full HD  ,ant
2b3ec858-fc48-529c-8783-fdce7e760eb5,create a video of minimum 10 sec of this. Ant&#39;s  courage was matched only by his insatiable curiosity  ,ant
cc4cc491-135e-5ce5-86cf-6cd5b463d118,A electrical mechanical robotic ant running around -motion 4 -camera pan right  ,ant
2d51a11f-e4dc-547f-8d05-940c45a31c3b,"/create prompt: In the magical world of &quot;Niji,&quot; an anime-inspired stop motion animation takes us on a captivating journey with a lone ant. The scene is set on a kitchen floor, where the ant embarks on its adventure. The mood is whimsical and filled with the essence of an anime, capturing the vibrant colors and lively characters of the genre. The focus remains solely on the lone ant as it navigates the vast expanse of the kitchen floor, encountering various challenges and triumphs along the way. The lighting is soft and inviting, enhancing the charm of the scene. 4K, --gs 20 --neg &quot;no other characters, no distractions&quot; --ar 16:9 --seed 2468  ",ant
22cf72b6-8487-5a37-ab21-f9a76d2c094f,frozen iglu in antartic islan  Message: IGLU (Font: MODERN)  ,antarctica
2b0e1305-25c6-5034-bf48-c1781cb5cc7b,2.118 light years pov centered above Antarctica  ,antarctica
113b851e-9017-5a34-b93c-19df0e44e669,wolf in pack in the Antarctic in 3D Animation with Zoom out 16:9  ,antarctica
f7917a10-232f-5ebd-9643-09fb0ffe9fe8,arctic circle  ,antarctica
9df7d2df-5820-5f18-9e51-45c311e688da,aerial video over a glacier in Antarctica  ,antarctica
7570a014-178f-5921-8509-9f60e310b193,"polar bear standing on human, human lying on ice, antartica  ",antarctica
